127.0.0.1 - - [17/Oct/2023:17:48:45 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:48:47 +0530] "GET /ResturantManagement/VendorLogin.jsf HTTP/1.1" 200 3137
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:48:47 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:00 +0530] "POST /ResturantManagement/VendorLogin.jsf;jsessionid=D2A23307879320B29CAE36239BB37D09 HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:00 +0530] "GET /ResturantManagement/VendorDashboard.jsf HTTP/1.1" 200 2981
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:00 +0530] "GET /ResturantManagement/javax.faces.resource/jsf.js.jsf?ln=javax.faces HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:03 +0530] "POST /ResturantManagement/VendorDashboard.jsf HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:03 +0530] "GET /ResturantManagement/VendorPenOrder.jsf HTTP/1.1" 200 4764
0:0:0:0:0:0:0:1 - - [17/Oct/2023:17:49:06 +0530] "POST /ResturantManagement/VendorPenOrder.jsf HTTP/1.1" 500 4052
